gene,logP
ENSG00000056487,NA
ENSG00000056558,0.6
ENSG00000056586,3.5
ENSG00000056661,-1.6
ENSG00000056678,NA
ENSG00000056736,-3.5
ENSG00000056972,0.9
ENSG00000056998,1
ENSG00000057019,-0.1
ENSG00000057149,NA
ENSG00000057252,4.9
ENSG00000057294,1.8
ENSG00000057468,-0.5
ENSG00000057593,0.4
ENSG00000057608,0
ENSG00000057657,4.7
ENSG00000057663,1.9
ENSG00000057704,1.2
ENSG00000057757,-0.3
ENSG00000057935,-1.2
ENSG00000058056,1.9
ENSG00000058063,2.2
ENSG00000058085,4.8
ENSG00000058091,0
ENSG00000058262,-2.8
ENSG00000058272,3.2
ENSG00000058335,0.1
ENSG00000058404,-0.3
ENSG00000058453,0.1
ENSG00000058600,1.9
ENSG00000058668,-0.4
ENSG00000058673,0
ENSG00000058729,-0.7
ENSG00000058799,1.9
ENSG00000058804,-0.3
ENSG00000058866,-0.1
ENSG00000059122,0
ENSG00000059145,2.8
ENSG00000059377,-0.1
ENSG00000059378,0.4
ENSG00000059573,-1.7
ENSG00000059588,-1.4
ENSG00000059691,-1.8
ENSG00000059728,-0.3
ENSG00000059758,-2
ENSG00000059769,0.3
ENSG00000059804,0.1
ENSG00000059915,-0.7
ENSG00000060069,1.4
ENSG00000060138,4.3
ENSG00000060140,-0.1
ENSG00000060237,-0.5
ENSG00000060303,-0.1
ENSG00000060339,0
ENSG00000060491,0.4
ENSG00000060558,-0.1
ENSG00000060566,-0.1
ENSG00000060642,0.7
ENSG00000060656,0.5
ENSG00000060688,-0.2
ENSG00000060709,-0.3
ENSG00000060718,3.6
ENSG00000060749,-0.6
ENSG00000060762,2.2
ENSG00000060971,0.4
ENSG00000060982,0
ENSG00000061273,5.3
ENSG00000061337,-5
ENSG00000061455,-0.1
ENSG00000061492,NA
ENSG00000061656,0.9
ENSG00000061676,1.7
ENSG00000061794,1.7
ENSG00000061918,0
ENSG00000061936,-0.6
ENSG00000061938,-0.6
ENSG00000061987,-0.6
ENSG00000062038,0.2
ENSG00000062096,-0.1
ENSG00000062194,-1.5
ENSG00000062282,-0.3
ENSG00000062370,0.8
ENSG00000062485,-0.3
ENSG00000062524,0
ENSG00000062582,-0.3
ENSG00000062598,1
ENSG00000062650,0.5
ENSG00000062716,5.7
ENSG00000062725,-0.3
ENSG00000062822,-0.9
ENSG00000063015,-0.1
ENSG00000063046,-0.1
ENSG00000063127,-2.2
ENSG00000063169,4.6
ENSG00000063176,0.3
ENSG00000063177,-0.2
ENSG00000063180,-1
ENSG00000063241,-0.1
ENSG00000063244,-1.1
ENSG00000063245,0.8
ENSG00000063322,0.4
ENSG00000063438,-1.1
ENSG00000063515,NA
ENSG00000063587,2.3
ENSG00000063601,0
ENSG00000063660,-2.8
ENSG00000063761,-0.5
ENSG00000063854,1
ENSG00000063978,0.2
ENSG00000064012,-0.7
ENSG00000064042,0
ENSG00000064102,0
ENSG00000064115,6.2
ENSG00000064195,NA
ENSG00000064199,-0.1
ENSG00000064201,-3.4
ENSG00000064205,-1.5
ENSG00000064218,NA
ENSG00000064225,-0.9
ENSG00000064270,0.2
ENSG00000064300,0.3
ENSG00000064309,-7.4
ENSG00000064313,0.4
ENSG00000064393,4.4
ENSG00000064419,-0.5
